date,week
2017-07-01,5
2017-07-03,0
2017-07-02,6
2017-07-05,2
2017-07-04,1
2017-07-06,3
2017-07-09,6
2017-07-11,1
2017-07-10,0
2017-07-12,2
2017-07-15,5
2017-07-16,6
2017-07-17,0
2017-07-18,1
2017-07-19,2
2017-07-20,3
2017-07-21,4
2017-07-22,5
2017-07-24,0
2017-07-26,2
2017-07-25,1
2017-07-30,6
2017-08-01,1
2017-08-02,2
2017-08-03,3
2017-08-04,4
2017-08-05,5
2017-08-06,6
2017-08-09,2
2017-08-11,4
2017-08-15,1
2017-08-14,0
2017-08-16,2
2017-08-17,3
2017-08-19,5
2017-08-20,6
2017-08-21,0
2017-08-23,2
2017-08-24,3
2017-08-27,6
2017-08-25,4
2017-08-28,0
2017-08-29,1
2017-08-30,2
2017-08-31,3
2017-09-02,5
2017-09-04,0
2017-09-05,1
2017-09-07,3
2017-09-08,4
2017-09-09,5
2017-09-10,6
2017-09-14,3
2017-09-15,4
2017-09-20,2
