OD_id,start_ver,end_ver,num,P_w,l_w,e_w
0,27,105,1534,0.8816852349548506,5750.041616968104,3709.4329622633063
1,27,224,1516,0.9890542812156854,2519.75766229264,2456.412199454622
2,27,310,1487,0.8597354635407813,5360.231059402897,3756.0187220020243
3,314,473,1406,0.7456353209640182,2647.3607696031354,1555.12783044696
4,27,380,1298,0.8522201807096093,5407.848741145658,3269.7302123030527
5,105,27,1266,0.7663925693281248,6666.568529755509,3268.5115087780505
6,27,582,1160,0.8462820655650267,6175.186977651059,3620.7915579293026
7,27,314,1140,0.8530833607028065,5722.253578135897,3720.2497161450874
8,335,27,1116,0.7303621924672814,6613.599279738744,3400.471390651186
9,27,16,1083,0.9965612298961547,1545.376634052691,1533.4119304382064
10,230,27,1001,0.6149617379087323,5000.105882991469,2460.5459718040825
11,27,331,990,0.9031437278541358,6122.242038060582,3854.534250909624
12,27,230,984,0.9426342396621409,4856.172822092006,4135.022728633958
13,27,335,980,0.7814054415091458,6566.830824808999,3785.8434409146394
14,27,32,966,0.9014917704774028,5869.249185021441,3663.3816624130377
15,27,9,953,0.9825433966585085,4310.852396006882,3946.580971539124
16,314,27,948,0.8336015814085103,5791.093815048301,2622.0262732307015
17,335,105,871,0.5847476699551628,3726.8770373235693,1627.1394394184342
18,314,224,871,0.8052530725081198,3298.428792482033,1895.588328951302
19,27,655,856,0.5218191634269923,3023.6950250508276,1353.467693984032
20,348,27,821,0.3224516958774001,8404.932156050601,2569.0299084381513
21,77,27,817,0.4430583747455622,4654.47197445516,1601.3642393384685
22,105,380,815,0.7138084368083171,2185.1224869156995,1423.5689465985015
23,105,582,805,0.7328297976675611,5373.548304713036,2487.243930288048
24,314,380,803,0.7257458371038019,4601.216106634355,1889.6855921665358
25,105,224,792,0.7482366112353495,4224.84985875802,2423.354181373689
26,80,380,788,0.6208638320538898,1347.1628097685161,694.41125087719
27,27,473,785,0.8261398910065992,7930.6544602659405,4050.5880701426504
28,224,27,784,0.4892240130504799,2529.034072611794,1195.3402647539474
29,105,314,780,0.6383028148211626,5055.900458104746,2451.508339866292
30,473,314,771,0.5809884941430563,2469.8668034389066,1308.4822504038107
31,27,367,764,0.9119371001790083,7624.37894940961,4067.9856685304485
32,314,105,755,0.6693253450290659,3150.8961251001765,1491.6977840026252
33,27,353,755,0.5963490994765797,2955.6078900144526,1391.3762125982619
34,27,80,746,0.9088993285171072,4117.742098097564,3105.1616473066783
35,335,582,719,0.64469049412975,2861.1710153820877,1223.232163172313
36,27,302,716,0.8635965481734258,4834.661261966924,3402.6116318129093
37,473,582,709,0.8887723906198295,3033.9653136560305,1597.9458877392487
38,27,26,700,0.7008757195835118,3339.6631070390436,1933.9576151843576
39,27,10,699,0.9897311404854625,3651.543039615316,3461.678564956126
40,27,558,699,0.859930347414871,3452.589358888655,2525.7995206895175
41,27,219,695,0.9945913310175235,937.3209380919518,932.2512415215432
42,27,311,694,0.7868251546089028,5886.537824145626,3542.2970055598485
43,588,473,693,0.3445798903054593,2488.349790225044,770.0109052446116
44,27,379,686,0.857741807334788,4749.462857088297,3307.908163512763
45,27,131,682,0.940235929613632,2795.355697998135,2320.5395828443807
46,27,334,673,0.9463484940911097,7552.962967074686,4502.160579862
47,313,473,669,0.6672875929663326,1998.4775541769059,1082.332340077104
48,335,314,665,0.5547779502281227,2970.5297690668885,1179.1947624738941
49,27,397,659,0.7668362833942962,7349.650840501272,2720.888293461572
50,27,280,658,0.7454835016502757,2255.6062029671293,1551.5607318974648
51,335,380,657,0.5767016033625222,4638.965949454627,1672.510880138274
52,582,473,655,0.6745774802734009,2907.712906388841,1535.3409079616122
53,314,522,650,0.7013687345191136,2551.373304957206,1501.932664336297
54,27,498,643,0.8986386794699012,1362.3861948924748,1169.5374431340283
55,27,443,636,0.5743976014938674,3990.518069114852,1537.7221466840676
56,27,354,634,0.9448139253597821,7474.248700037109,4601.489276437407
57,27,68,628,0.8623330204122976,8546.5459137394,4094.990916371353
58,27,33,628,0.8981933444420421,6860.47253946614,4065.5513972594918
59,27,347,621,0.6818775019510868,7539.399411535976,3266.087999608083
60,27,158,615,0.6162140271105381,1197.4030816612512,709.0723047982684
61,77,224,614,0.41005694554674965,2270.0539882878684,909.1316024732336
62,27,522,611,0.9591545918071676,3355.834812692754,3094.409520041156
63,80,105,605,0.5246646338970655,2346.9848996396317,838.9638474589493
64,105,16,598,0.7730715466848072,5124.424489419459,2865.2710611787093
65,77,314,592,0.4097670537662057,4040.3535891623474,868.1227130086904
66,311,27,591,0.5378411666207954,5879.364987007072,2417.2857257451656
67,77,380,589,0.6418167997413905,910.4121660312039,556.5130373410992
68,582,27,586,0.7052632718641076,5977.72480042888,2714.7732352583093
69,314,471,580,0.7603818506395057,1874.7579094989214,1184.795142065248
70,27,95,579,0.864984030507456,5891.629327180688,3633.573743185483
71,105,335,573,0.5254199008741715,3301.0993457163463,1655.0853009531597
72,314,33,571,0.673471339485548,2605.5237923626946,1383.7625015733915
73,27,31,570,0.8755962681960202,7201.088603250836,3744.7923981267795
74,314,9,569,0.9238100988425326,1681.493199078271,1334.002272665136
75,27,529,562,0.537475439021466,4438.689899048585,1558.682731070185
76,314,302,561,0.9060793367491456,1073.9358266921724,915.8872831377206
77,380,27,559,0.34266811974807776,5360.900958700092,1617.0370256937588
78,77,331,552,0.5263695817223824,1519.987492398864,622.6825843592123
79,27,348,546,0.6608092256225455,8085.939780885554,3277.612312975048
80,27,204,542,0.42343605736992485,6162.812763468037,1596.3354000874997
81,314,32,541,0.7139176513953839,4554.148049785073,1651.2152794968251
82,77,105,540,0.5296452137722913,2536.9536303518894,805.721557589638
83,314,10,538,0.9096157725086829,2098.1383988091197,1636.9316442047036
84,105,80,536,0.8690364442964215,2942.5485031159988,2176.7093764653155
85,236,27,536,0.16702962044331637,4055.024817879315,675.1265268552438
86,331,27,534,0.47374560585674175,5942.304394260056,1960.4723708105632
87,27,123,533,0.9542233506011563,5146.2315979825435,4190.3071486399795
88,335,310,530,0.8487886318201698,1538.6128444769288,1204.7153200703835
89,9,27,524,0.6441888500615496,4397.307693699863,2429.9933075978997
90,10,27,523,0.5515443346657464,3698.3450136217116,1697.072300350079
91,314,310,517,0.5391506399630024,2522.185113574136,806.4808420969904
92,314,16,508,0.8381891998611122,4247.93098448237,2246.601732225099
93,335,224,506,0.6893602188442116,4118.678909984931,2167.0009139362887
94,27,471,503,0.9169609847595335,7642.150016047666,4189.79530236522
95,105,310,498,0.7522553762689675,3754.848340198056,2045.7808240676038
96,77,84,497,0.32789214173859194,2626.4902329297684,436.3114758138015
97,335,367,492,0.5249857576807457,2075.711375714135,1008.7567668873562
98,473,27,490,0.5731767687122615,8014.739029825418,2188.781972504603
99,314,331,487,0.9152929902630909,4190.465220892248,1966.0270548155772
